period,stateid,stateDescription,sectorid,sectorName,price,price-units
2019-06,US,U.S. Total,IND,industrial,6.87,cents per kilowatthour
2019-05,US,U.S. Total,IND,industrial,6.69,cents per kilowatthour
2019-05,US,U.S. Total,COM,commercial,10.54,cents per kilowatthour
2019-05,US,U.S. Total,ALL,all sectors,10.38,cents per kilowatthour
2019-05,US,U.S. Total,TRA,transportation,9.46,cents per kilowatthour
2019-05,US,U.S. Total,RES,residential,13.31,cents per kilowatthour
2019-05,US,U.S. Total,OTH,other,,cents per kilowatthour
2019-04,US,U.S. Total,RES,residential,13.25,cents per kilowatthour
2019-04,US,U.S. Total,OTH,other,,cents per kilowatthour
2019-04,US,U.S. Total,IND,industrial,6.51,cents per kilowatthour
2019-04,US,U.S. Total,COM,commercial,10.52,cents per kilowatthour
2019-04,US,U.S. Total,ALL,all sectors,10.24,cents per kilowatthour
2019-04,US,U.S. Total,TRA,transportation,9.45,cents per kilowatthour
2019-03,US,U.S. Total,ALL,all sectors,10.34,cents per kilowatthour
2019-03,US,U.S. Total,TRA,transportation,9.25,cents per kilowatthour
2019-03,US,U.S. Total,RES,residential,12.84,cents per kilowatthour
2019-03,US,U.S. Total,OTH,other,,cents per kilowatthour
2019-03,US,U.S. Total,IND,industrial,6.73,cents per kilowatthour
2019-03,US,U.S. Total,COM,commercial,10.46,cents per kilowatthour
2019-02,US,U.S. Total,ALL,all sectors,10.4,cents per kilowatthour
2019-02,US,U.S. Total,TRA,transportation,10.02,cents per kilowatthour
2019-02,US,U.S. Total,RES,residential,12.72,cents per kilowatthour
2019-02,US,U.S. Total,OTH,other,,cents per kilowatthour
2019-02,US,U.S. Total,IND,industrial,6.69,cents per kilowatthour
2019-02,US,U.S. Total,COM,commercial,10.54,cents per kilowatthour
2019-01,US,U.S. Total,ALL,all sectors,10.24,cents per kilowatthour
2019-01,US,U.S. Total,TRA,transportation,9.83,cents per kilowatthour
2019-01,US,U.S. Total,RES,residential,12.47,cents per kilowatthour
2019-01,US,U.S. Total,OTH,other,,cents per kilowatthour
2019-01,US,U.S. Total,IND,industrial,6.58,cents per kilowatthour
2019-01,US,U.S. Total,COM,commercial,10.3,cents per kilowatthour
2018-12,US,U.S. Total,ALL,all sectors,10.21,cents per kilowatthour
2018-12,US,U.S. Total,TRA,transportation,9.71,cents per kilowatthour
2018-12,US,U.S. Total,RES,residential,12.43,cents per kilowatthour
2018-12,US,U.S. Total,OTH,other,,cents per kilowatthour
2018-12,US,U.S. Total,IND,industrial,6.67,cents per kilowatthour
